"","ibgeID","lat","lon"
"211",3202207,-19.9332174,-40.4049674
"212",3202256,-19.25076,-40.462888
"213",3202306,-20.7726679,-41.6750657
"214",3202405,-20.6718755,-40.4984617
"215",3202454,-20.2342792,-41.5082981
"216",3202504,-19.8309496,-40.3686594
"217",3202553,-20.539374,-41.664695
"218",3202603,-20.7935003,-40.8108852
"219",3202652,-20.3469751,-41.639688
"220",3202702,-19.8015463,-40.8564646
"221",3202801,-21.0105534,-40.8351239
"222",3202900,-19.8707305,-40.8749826
"223",3203007,-20.3427029,-41.5360386
"224",3203056,-18.9029244,-40.0712037
"225",3203106,-20.7882214,-41.3921464
"226",3203130,-19.756346,-40.3848345
"227",3203163,-19.8989653,-41.0584617
"228",3203205,-19.3816944,-40.0612213
"229",3203304,-18.8626177,-41.1224012
"230",3203320,-21.0443673,-40.8272204
"231",3203346,-20.4124966,-40.6749858
"232",3203353,-19.4117824,-40.5442916
"233",3203403,-21.0628724,-41.3640478
"234",3203502,-18.1256742,-40.366795
"235",3203601,-18.094302,-40.5190692
"236",3203700,-20.4636068,-41.4137007
"237",3203809,-20.9509368,-41.3444285
"238",3203908,-18.7063456,-40.3969786
"239",3204005,-19.2239225,-40.8502555
"240",3204054,-18.2998272,-39.9558844
"241",3204104,-18.4127047,-40.217534
"242",3204203,-20.8375312,-40.7271589
"243",3204252,-18.1227076,-40.5392272
"244",3204302,-21.1000137,-41.0436113
"245",3204351,-19.2614413,-40.3353272
"246",3204401,-20.8641487,-40.9384378
"247",3204500,-20.0987046,-40.5269434
"248",3204559,-20.025296,-40.743931
"249",3204609,-19.936339,-40.597945
"250",3204658,-19.1461276,-40.6214803
"251",3204708,-19.0148349,-40.539464
"252",3204807,-21.0271161,-41.654069
"253",3204906,-18.7157663,-39.8492211
"254",3204955,-19.7385942,-40.6598575
"255",3205002,-20.1252961,-40.3064477
"256",3205010,-19.1918129,-40.1037067
"257",3205036,-20.6742303,-41.010615
"258",3205069,-20.3325787,-41.1295842
"259",3205101,-20.3914471,-40.4966587
"260",3205150,-18.6191731,-40.6043622
"261",3205176,-18.9984033,-40.3894342
"262",3205200,-20.3297293,-40.2920284
"263",3205309,-20.3200917,-40.3376682
"264",2800100,-10.1299754,-36.9269099
"265",2800209,-10.2837579,-37.0188687
"266",2800308,-10.9162061,-37.0774655
"267",2800407,-11.2644014,-37.6181058
"268",2800506,-10.7591455,-37.3148072
"269",2800605,-10.9075694,-37.0386249
"270",2800670,-11.1450175,-37.6204228
"271",2800704,-10.4287358,-36.4667918
"272",2801009,-10.7496246,-37.4942276
"273",2801108,-10.1373681,-36.9710796
"274",2801207,-9.6597475,-37.7904456
"275",2801306,-10.50494,-37.0552566
"276",2801405,-10.358303,-37.701473
"277",2801504,-10.64835,-36.98493
"278",2801603,-10.2506778,-36.8816067
"279",2801702,-11.4757019,-37.7555212
"280",2801900,-10.3552462,-37.1828788
"281",2802007,-10.6783231,-37.1482727
"282",2802106,-11.2682255,-37.4378341
"283",2802205,-10.2629878,-37.3131265
"284",2802304,-10.549956,-37.5356071
"285",2802403,-9.9688996,-37.0827962
"286",2802502,-10.6855125,-36.98492
"287",2802601,-10.2386711,-37.2055629101894
"288",2802700,-10.4365954,-36.5370011
"289",2802809,-11.5250972,-37.5075262
"290",2802908,-10.6856197,-37.4270517
"291",2803005,-11.2760142,-37.78666
"292",2803104,-10.1263407,-37.1017566
"293",2803203,-10.9961671,-37.3045841
"294",2803302,-10.5934888,-36.941514
"295",2803401,-10.3467864,-36.799878
"296",2803500,-10.9141791,-37.6715308
"297",2803609,-10.8040231,-37.1658336
"298",2803708,-10.6657963,-37.5396488
"299",2803807,-10.3450779,-36.9206659
"300",2803906,-10.6588623,-37.3085558
"301",2804003,-10.7372604,-37.0817469
"302",2804102,-10.5793237,-37.3423877
"303",2804201,-10.0657473,-37.6235614801638
"304",2804300,-10.4227085,-36.9567299
"305",2804409,-10.3169887,-36.5768904
"306",2804458,-10.3968947,-37.4539699
"307",2804508,-10.2188811,-37.4199759
"308",2804607,-10.4927502,-37.1931675
"309",2804706,-10.07966565,-37.0225126120115
"310",2804805,-10.8553115,-37.1264863
"311",2804904,-10.4506594,-36.6473212
"312",2805000,-10.6181053,-37.6865098
"313",2805109,-11.192952,-37.6757812
"314",2805208,-10.5682989,-37.7236405
"315",2805307,-10.7408558,-36.8591248
"316",2805406,-9.8083322,-37.6827949
"317",2805505,-10.7192826,-38.1721768
"318",2805604,-9.9152762,-37.2791369
"319",2805703,-10.212427,-36.8372254
"320",2805802,-11.0704439,-37.726446
"321",2805901,-10.7323307,-37.1863203
"322",2806008,-10.5405577,-37.4368783
"323",2806107,-10.6968099,-37.0319184
"324",2806206,-11.0282445,-37.4782803
"325",2806305,-11.3520169,-37.4485757
"326",2806404,-10.2926609,-36.6074667
"327",2806503,-10.6474939,-37.1926373
"328",2806602,-10.7866999,-37.054711
"329",2806701,-11.0136465,-37.2071134
"330",2806800,-10.7903753,-37.5667586
"331",2806909,-10.3496581,-36.8851236
"332",2807006,-10.3892164,-37.3826157
"333",2807105,-10.7388301,-37.809016
"334",2807204,-10.604584,-37.1143295
"335",2807303,-10.2089823,-36.8841125
"336",2807402,-11.1881379,-38.0031845
"337",2807501,-11.3752475,-37.8413399
"338",2807600,-11.3826792,-37.6565562
"339",1500107,-1.721828,-48.878843
"340",1500131,-4.953001,-48.3958485
"341",1500206,-1.961388,-48.1987043
"342",1500305,-0.1535664,-50.3879223
"343",1500347,-6.8064885,-50.4849667
"344",1500404,-1.946229,-54.738355
"345",1500503,-1.5290377,-52.5788111
"346",1500602,-3.204065,-52.209961
"347",1500701,-0.9878802,-49.9390114
"348",1500800,-1.374035,-48.4016623
"349",1500859,-3.4668292,-51.2057035
"350",1500909,-1.0229335,-46.6404029
"351",1500958,-2.1323199,-47.558436
"352",1501006,-3.6049239,-55.3310742
"353",1501105,-1.8994498,-50.2103844
"354",1501204,-2.7903479,-49.6702845
"355",1501253,-7.3508505,-50.4064531
"356",1501303,-1.5107945,-48.6190679
"357",1501402,-1.45056,-48.4682453
"358",1501451,-2.636091,-54.937392
"359",1501501,-1.3555577,-48.252235
"360",1501576,-5.0471796,-48.5978362
"361",1501600,-1.3605722,-47.3049907
"362",1501709,-1.0573967,-46.7635406
"363",1501725,-3.3055853,-52.539198
"364",1501758,-5.7011449,-48.4037308
"365",1501782,-3.7785073,-49.5684795
"366",1501808,-1.68036,-50.479085
"367",1501907,-1.5169239,-48.0410699
"368",1501956,-1.7599443,-46.5446954
"369",1502004,-1.0143572,-48.9621089
"370",1502103,-2.242949,-49.497885
"371",1502152,-6.5296837,-49.8516592
"372",1502202,-1.1933054,-47.1828679
"373",1502301,-1.7447162,-47.0638495
"374",1502400,-1.2927031,-47.9223903
"375",1502509,-0.164154,-49.987006
"376",1502608,-0.936423,-48.280254
"377",1502707,-8.2696905,-49.2676864
"378",1502756,-1.9924056,-47.9450474
"379",1502764,-7.8122669,-50.7677675
"380",1502772,-6.0990443,-49.6059039
"381",1502806,-1.8137876,-49.7980165
"382",1502855,-1.887754,-55.116842
"383",1502905,-0.7276792,-47.856568
"384",1502939,-4.2928111,-47.5559083
"385",1502954,-6.1029246,-49.3572487
"386",1503002,-1.10916255,-57.8002507157089
"387",1503044,-7.5597065,-49.7032829
